"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C1","CAPC1608N","48.768mm","109.559mm","48.768mm","110.109mm","48.768mm","109.009mm","T","0.00","100pF"
"C2","CAPC1608N","29.76mm","115.316mm","29.21mm","115.316mm","30.31mm","115.316mm","T","90.00","100pF"
"C3","CAPC1608N","29.549mm","92.202mm","30.099mm","92.202mm","28.999mm","92.202mm","T","270.00","0.1uF"
"C4","CAPC1608N","35.518mm","76.327mm","36.068mm","76.327mm","34.968mm","76.327mm","T","270.00","10uF"
"C5","CAPC1608N","35.391mm","73.152mm","35.941mm","73.152mm","34.841mm","73.152mm","T","270.00","100nF"
"C6","CAPC1608N","45.805mm","74.93mm","46.355mm","74.93mm","45.255mm","74.93mm","T","270.00","0.1uF"
"C7","CAPC1608N","39.37mm","58.378mm","39.37mm","58.928mm","39.37mm","57.828mm","T","360.00","0.1uF"
"C8","CAPC1608N","40.852mm","92.075mm","41.402mm","92.075mm","40.302mm","92.075mm","T","270.00","26pF"
"C9","CAPC1608N","35.518mm","91.821mm","36.068mm","91.821mm","34.968mm","91.821mm","T","270.00","26pF"
"C10","CAPC1608N","32.808mm","50.038mm","32.258mm","50.038mm","33.358mm","50.038mm","T","90.00","4.7uF"
"D2","LED","38.648mm","121.285mm","41.148mm","121.285mm","36.148mm","121.285mm","T","180.00","1685017"
"J1","6-pins","52.832mm","94.223mm","52.832mm","101.473mm","52.832mm","100.573mm","T","270.00","UART"
"J2","6-pins","54.483mm","75.427mm","54.483mm","82.677mm","54.483mm","81.777mm","T","270.00","DEBUG"
"J3","USB_B_FEM","34.848mm","34.785mm","28.448mm","32.385mm","33.248mm","37.185mm","T","360.00","1753809"
"R1","CAPC1608N","40.894mm","109.559mm","40.894mm","110.109mm","40.894mm","109.009mm","T","360.00","1K"
"R2","CAPC1608N","44.577mm","118.025mm","44.577mm","117.475mm","44.577mm","118.575mm","T","180.00","130R"
"R3","CAPC1608N","44.831mm","109.516mm","44.831mm","108.966mm","44.831mm","110.066mm","T","180.00","1K"
"R4","CAPC1608N","29.083mm","110.151mm","29.083mm","109.601mm","29.083mm","110.701mm","T","180.00","1K"
"R5","CAPC1608N","36.195mm","117.687mm","36.195mm","118.237mm","36.195mm","117.137mm","T","0.00","130R"
"U2","PIC32MX220","38.558mm","83.422mm","48.133mm","87.122mm","48.133mm","88.122mm","T","180.00","PIC32MX220F032B"
"S1","PUSH_BUTTON","52.832mm","111.069mm","52.832mm","107.569mm","52.832mm","106.369mm","T","90.00","2468741"
"D1","LED","47.03mm","121.285mm","49.53mm","121.285mm","44.53mm","121.285mm","T","180.00","1685021"
"U1","TSOP38238","30.734mm","121.158mm","30.734mm","121.158mm","33.274mm","121.158mm","T","180.00","2251359"
"Y1","XTAL139X50X45","38.532mm","97.79mm","40.132mm","97.79mm","42.932mm","97.79mm","T","180.00","4MHz"
"U3","LDO_REG","33.401mm","56.0705mm","33.401mm","54.356mm","31.101mm","53.34mm","T","0.00","1578379"

